,mean,max,std,variance,peak_to_peek,RMS,fname
439,0.0021064310338509197,0.0342164552817713,0.003530239805143491,1.2462593081819553e-05,0.034209895527370277,0.045895871642784164,acc#2022_12_4#9_55_36#-723663#10818944#365
440,0.0014621416738482033,0.04953722400934077,0.004818930186897409,2.3222088146191093e-05,0.049535904250668006,0.038237961162282216,acc#2022_12_4#6_16_0#-691391#10760268#166
441,0.0049837826663061986,0.04711854109071893,0.007800388546805807,6.084606148113922e-05,0.047089774461707284,0.07059591111605684,acc#2022_12_4#9_54_57#-722841#10819027#841
442,0.0005501797264381825,0.021988959453896458,0.0014588396031237462,2.1282129876422496e-06,0.02198714181685668,0.02345591026667229,acc#2022_12_4#13_56_3#-787814#11009937#144
443,0.00042820779752647086,0.027205434855761497,0.0013776735682889615,1.8979844607620398e-06,0.027203777840617633,0.020693182392432317,acc#2022_12_4#13_16_43#-769010#10968645#136
444,0.00046969908072250677,0.010639257061797388,0.0009983447061392527,9.966921522762708e-07,0.010635995142967305,0.02167254209183839,acc#2022_12_4#12_51_43#-761287#10949043#138
445,0.00044595190720814524,0.01601399647078215,0.0010613348773721154,1.1264317219264835e-06,0.016003652243511128,0.021117573421398236,acc#2022_12_4#12_13_43#-761838#10913154#138
446,0.0009838253237841473,0.02877584709429536,0.002295283921346736,5.268328279592849e-06,0.028769664464779666,0.03136598992195444,acc#2022_12_4#9_58_19#-726913#10818913#261
447,0.000387095377967015,0.014586395609271857,0.0008464411781240213,7.16462668023981e-07,0.014583846515961589,0.019674739590831058,acc#2022_12_4#12_43_11#-761350#10937291#136
448,0.00035219897287196524,0.011456706152261999,0.0006861472536535078,4.7079805369625117e-07,0.011455367042005839,0.018766964935011874,acc#2022_12_4#13_31_31#-772620#10989370#137
449,0.0005885894713623135,0.0402401265276941,0.002085487293509048,4.349257251387694e-06,0.040231369862281596,0.02426086295584544,acc#2022_12_4#13_2_54#-763249#10957127#143
450,0.0007130455629685525,0.04341933842776888,0.00247273777962299,6.1144321267748345e-06,0.04341814037223534,0.02670291300529874,acc#2022_12_4#10_58_53#-734716#10842838#151
451,0.00037470563463869796,0.009294141943108689,0.0007532883591515418,5.674433520332222e-07,0.009292131246125834,0.019357314757959015,acc#2022_12_4#13_56_39#-787550#11010761#136
452,0.0004611133202198408,0.008055078514526684,0.0007934374232739245,6.295429446515648e-07,0.008048037357955177,0.021473549315840657,acc#2022_12_4#13_55_37#-787929#11009351#138
453,0.001626645150077164,0.04154586237487901,0.0033397905251583964,1.1154200751937797e-05,0.0415288461920644,0.04033168915477213,acc#2022_12_4#13_51_50#-786320#11004227#332
454,0.0004991612779314419,0.017218893308103497,0.001216138904988421,1.4789938362264359e-06,0.01721114667590739,0.022341917507936553,acc#2022_12_4#11_22_26#-735900#10864127#141
455,0.0005077513580357132,0.018667203055685568,0.0013619721216059357,1.8549680600317737e-06,0.01866176273849173,0.022533338812428867,acc#2022_12_4#12_45_44#-761307#10940923#146
456,0.001987802453995042,0.01839579418402417,0.0029701609961603425,8.821856343112197e-06,0.018391148393459296,0.04458477827684065,acc#2022_12_4#9_56_46#-725102#10818793#299
457,0.0003411053969384241,0.00813795599460394,0.0006819535059390632,4.6506058426257996e-07,0.008137202674670461,0.018469038874246384,acc#2022_12_4#12_40_45#-761843#10933801#136
458,0.0005224145258437953,0.015316385255329627,0.001216441793626226,1.4797306372805895e-06,0.015313209233901661,0.022856389168978447,acc#2022_12_4#11_45_57#-751597#10884584#154
459,0.0005317071942186173,0.03716905469911222,0.0018920582168962519,3.5798842961246244e-06,0.03716715520239334,0.023058776945419662,acc#2022_12_4#11_22_45#-735780#10864577#141
460,0.0005298451821298233,0.024430347071846197,0.001633626922577963,2.668736922171546e-06,0.024428668617202602,0.02301836619158326,acc#2022_12_4#12_5_39#-762699#10904080#139
461,0.0012083775113029464,0.10186147230778578,0.005860999851301658,3.435131925695806e-05,0.1018372204339971,0.03476172480333717,acc#2022_12_4#6_18_46#-691408#10760321#168
462,0.0005036620307374316,0.021637034226871934,0.0013896004743100309,1.9309894782026628e-06,0.02163489334250793,0.0224424158846019,acc#2022_12_4#8_30_59#-708719#10790913#151
463,0.0004243028169975741,0.004184304793532277,0.0007258926637864852,5.269201593390392e-07,0.0041828077017912035,0.020598612016288237,acc#2022_12_4#12_30_30#-763049#10925054#138
464,0.0036643064349599604,0.037249773853714446,0.0062051607350481494,3.8504019747783286e-05,0.03723100284258605,0.060533514972781484,acc#2022_12_4#9_55_0#-722904#10819022#623
465,0.0005182826284268568,0.026263356683590172,0.0015145167754008029,2.2937610629704456e-06,0.026260231026145057,0.02276582149685921,acc#2022_12_4#11_27_29#-739377#10869913#141
466,0.0005948438678184124,0.03212099213948954,0.0019428276603709177,3.7745793179023337e-06,0.0321162952423193,0.024389421227622693,acc#2022_12_4#13_53_13#-787075#11006065#137
467,0.0016437186379356563,0.11918680964786703,0.007247162208974945,5.2521360083194606e-05,0.11917706281718148,0.04054280007517557,acc#2022_12_4#6_20_41#-691441#10760284#171
468,0.00047192751701950584,0.016999644615569322,0.0011092518717437801,1.2304397149670795e-06,0.016996035202803763,0.02172389276855108,acc#2022_12_4#12_48_15#-761566#10944389#136
469,0.0037966371224913724,0.04387057659990626,0.005784657389690434,3.346226111610015e-05,0.04386756707096261,0.061616857453876794,acc#2022_12_4#9_57_40#-726222#10818674#318
470,0.006066243142162981,0.04909042720791066,0.008559968551310419,7.327306159942337e-05,0.04899613393688844,0.07788609081320606,acc#2022_12_4#9_56_38#-724935#10818811#923
471,0.00045059078923589735,0.011764741401990861,0.0010104302136351748,1.0209692166268247e-06,0.01176208426403407,0.021227123904003043,acc#2022_12_4#13_52_32#-786870#11005092#139
472,0.0015946774015146573,0.00943677812866376,0.001561051472388273,2.436881699445595e-06,0.009432960148662958,0.03993341209456885,acc#2022_12_4#7_8_7#-691461#10760498#786
473,0.0005593303707409053,0.030087023207132114,0.0019042110505308003,3.6260197249636144e-06,0.03008489588168684,0.023650166399856586,acc#2022_12_4#12_49_57#-761422#10946827#139
474,0.00040129345258631304,0.009003668837540462,0.0008401724532943085,7.058897512745769e-07,0.009003189574140022,0.020032310215906526,acc#2022_12_4#11_48_18#-753973#10887108#141
