,pc_1,pc_2,fname
0,-0.7754618593236344,0.457631005308784,acc#2022_12_2#8_11_42#-658153#10742172#146
1,-0.897888592995874,0.462198040612823,acc#2022_12_2#7_5_46#-624053#10700513#152
2,1.3206941694995995,-1.7125577295026797,acc#2022_12_2#7_58_13#-653102#10745110#152
3,0.7759547849872426,-0.3481844129099404,acc#2022_12_2#9_4_22#-685770#10751047#150
4,-0.9623177262988023,-0.1292374747665358,acc#2022_12_2#7_27_7#-626965#10725996#156
5,-1.1236076964127735,0.5048201273032192,acc#2022_12_2#7_13_35#-625957#10709786#145
6,0.2663453425514952,-0.4196291835516863,acc#2022_12_2#7_59_23#-654304#10744724#151
7,-1.2190673798354594,0.4940852715000984,acc#2022_12_2#8_10_28#-657538#10742493#157
8,-0.4521229251286734,0.4362079538523164,acc#2022_12_2#8_13_29#-659284#10741594#158
9,0.3405718979911606,-1.2311381741920706,acc#2022_12_2#8_49_35#-678980#10744599#162
10,-0.5580133484212637,0.07179106787948446,acc#2022_12_2#8_15_19#-660532#10740945#156
11,0.32862398093547746,-0.9387278125224509,acc#2022_12_2#8_56_0#-680926#10747543#150
12,-0.6857807891873681,0.6029860603748982,acc#2022_12_2#7_34_39#-635000#10734569#151
13,-0.9078224273137108,0.3881808572990155,acc#2022_12_2#7_43_6#-640345#10745241#154
14,0.43897052576241885,0.20099986266117523,acc#2022_12_2#7_10_27#-625810#10705411#141
15,-0.2833202691927891,-0.33790195796818284,acc#2022_12_2#7_11_59#-626285#10707272#146
16,1.3822537567394957,2.9193274270058467,acc#2022_12_2#6_47_9#-619858#10684141#465
17,0.7278033967755821,-0.7017003392091341,acc#2022_12_2#7_13_22#-626014#10709425#141
18,-1.2201630517254025,0.2264383559413879,acc#2022_12_2#7_11_40#-626189#10706838#148
19,-0.08237867473032577,0.16279057124178498,acc#2022_12_2#7_19_18#-626564#10716773#152
20,-1.6862522813167398,0.20587900445192292,acc#2022_12_2#7_16_22#-625348#10713657#140
21,-1.0810450102375582,0.4191159800773184,acc#2022_12_2#7_38_7#-637886#10739734#149
22,-0.47250015358674174,0.3421408500778095,acc#2022_12_2#9_2_13#-684166#10749608#162
23,-1.4357169362025477,-0.04717839154749297,acc#2022_12_2#8_20_24#-664082#10739132#145
24,0.5587334561169766,1.5717648968127869,acc#2022_12_2#9_7_27#-688367#10753423#170
25,-1.2305242938257333,0.40870819371203104,acc#2022_12_2#6_49_12#-620777#10684815#150
26,-0.0688051690438576,0.55179904079053,acc#2022_12_2#7_20_16#-627084#10718015#176
27,2.3117982562717416,-2.3727361257275494,acc#2022_12_2#7_57_25#-652366#10745623#149
28,1.609992903647484,1.8947001426029593,acc#2022_12_2#9_7_33#-688417#10753465#179
29,-0.7628486084919602,0.14475759117316203,acc#2022_12_2#7_29_51#-629317#10728831#153
30,-0.8949692383238813,0.76140135626874,acc#2022_12_2#6_36_53#-617719#10683098#224
31,1.481322544914291,-0.5209157610079315,acc#2022_12_2#7_23_20#-627001#10722713#152
32,-1.130495251055263,0.32501350609823526,acc#2022_12_2#8_7_13#-657605#10743411#147
33,-0.1159570079105293,-0.15776889899129556,acc#2022_12_2#9_1_38#-683835#10749260#168
34,-0.8252029212069474,0.4206612071534794,acc#2022_12_2#7_38_53#-638402#10740930#145
35,-1.511370853016991,0.6752159517863604,acc#2022_12_2#6_53_22#-621169#10686221#154
36,-0.48958957830790967,-0.1754657509466225,acc#2022_12_2#8_16_11#-661241#10740783#150
37,-1.63713411397953,-0.1389392438173525,acc#2022_12_2#7_44_9#-640542#10745644#146
